"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\USER\Desktop\reactpros\Yodan\src\App.css", "CSS", 0, 12, 0, 1, 13
"c:\Users\USER\Desktop\reactpros\Yodan\src\App.jsx", "JavaScript JSX", 16, 0, 0, 8, 24
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\BoostedProduct\BoostedProduct.jsx", "JavaScript JSX", 14, 0, 0, 2, 16
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\BoostedProduct\Boostedcss\bproduct.css", "CSS", 0, 56, 0, 11, 67
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\BoostedProduct\Bossted.jsx", "JavaScript JSX", 38, 0, 0, 9, 47
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\ByChategory\Chategory.jsx", "JavaScript JSX", 16, 0, 0, 4, 20
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\ByChategory\ProductByChategory.jsx", "JavaScript JSX", 17, 0, 0, 5, 22
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\DetailProducts\DetailProduct.jsx", "JavaScript JSX", 33, 0, 0, 12, 45
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\Home.jsx", "JavaScript JSX", 16, 0, 0, 2, 18
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\HomeCss\product.css", "CSS", 0, 13, 0, 1, 14
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\HomeCss\scrollbar.css", "CSS", 0, 19, 0, 3, 22
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\Product.jsx", "JavaScript JSX", 29, 0, 0, 7, 36
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\ScrollBar.jsx", "JavaScript JSX", 13, 0, 0, 2, 15
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Home\TodaysSelection.jsx", "JavaScript JSX", 17, 0, 0, 5, 22
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Navigation\Navigation.jsx", "JavaScript JSX", 41, 0, 0, 4, 45
"c:\Users\USER\Desktop\reactpros\Yodan\src\Components\Navigation\NavigationCss\navigation.css", "CSS", 0, 37, 0, 2, 39
"c:\Users\USER\Desktop\reactpros\Yodan\src\index.css", "CSS", 0, 4, 0, 0, 4
"c:\Users\USER\Desktop\reactpros\Yodan\src\main.jsx", "JavaScript JSX", 12, 0, 0, 2, 14
"Total", "-", 262, 141, 0, 80, 483